"","theta.oracle","theta.plugin","theta.weight","theta.DR","se.DR","policy.value"
"result.1",0.235335385345644,0.132792990669531,0.175099702196814,0.179980253310149,0.00665762691076223,0.0093471442814757
"result.2",0.232225467003427,0.182779957480649,0.151336783183293,0.178714130298094,0.00623099907523164,0.00789258541093176
"result.3",0.229089521201678,0.160177900695825,0.153128297085082,0.181285711926848,0.00708722799846673,0.0189344406388549
"result.4",0.229557377755533,0.166730952405706,0.176612237965613,0.169440339564725,0.0058055352258587,0.00276997961663593
"result.5",0.229531846220065,0.124411207892171,0.160002773014477,0.179066284468574,0.00691905925344412,0.0120867943560906
"result.6",0.222434449919523,0.190932555941412,0.171360088473289,0.19599482492342,0.00660294040194644,0.0244189803071331
"result.7",0.222464815757909,0.156161876470054,0.189308421887332,0.181213844733742,0.00646813374755647,0.0154158132265265
"result.8",0.21868547400064,0.160076239283501,0.186121145733705,0.171976204150725,0.00659053762607613,0.0199978898785464
"result.9",0.230713319525276,0.161087930232685,0.158412911346497,0.154102749285868,0.00687179736761117,0.00592931319557129
"result.10",0.228991682631828,0.175205459656174,0.147004355733786,0.1875575026012,0.00539165747860777,0.0288716127952055
"result.11",0.231233121601495,0.144115733910904,0.175122519093802,0.179197582981012,0.0056041636990766,0.00987480139367762
"result.12",0.221426383941058,0.156965546026217,0.159295655372257,0.168315359626495,0.00570798102684509,0.00290225493643793
"result.13",0.221506417250431,0.156339723250884,0.166290113437363,0.190485138017906,0.00600633534541862,0.0297835653157802
"result.14",0.232932064619992,0.118097959864096,0.148377800357897,0.174324437266009,0.00627526229476307,0.0191505195420327
"result.15",0.221277783635907,0.185523178047522,0.175835688620026,0.192961245613959,0.0056202059775851,0.0303063440249165
"result.16",0.221696506048662,0.168012684672072,0.17326498509402,0.190291132709735,0.00521017246620486,0.0295887836650679
"result.17",0.231320380137909,0.123516304023075,0.137336609879815,0.148595782372689,0.00545632725899776,0.00348657649865384
"result.18",0.22545463508706,0.114374846913291,0.158085008421494,0.157000398330547,0.00663596055989954,0.00104896353090496
"result.19",0.22937608980054,0.146646981186189,0.162914669454381,0.166006861428291,0.00588264855024374,0.00576041075774182
"result.20",0.230369073697261,0.153671572905025,0.152149903076242,0.173922303632171,0.00633709397698593,0.0130663358496145
"result.21",0.218160649373467,0.18713282949805,0.18586071737588,0.197950665304684,0.00566586219448541,0.0283353271106504
"result.22",0.22708733739226,0.162322197857022,0.164093904657624,0.175741857912717,0.00654530823117002,0.0257124805926687
"result.23",0.226135799592533,0.142872130527141,0.14816144851552,0.159437616218931,0.00717577769407017,0.00052893910312159
"result.24",0.232220293120945,0.168468405275471,0.197399257227714,0.1922390449597,0.00670815448451822,0.0322760814573272
"result.25",0.230362690121833,0.16366648443581,0.168798774092505,0.173876595728639,0.00681322857267549,0.0143578236023924
"result.26",0.236311458750665,0.148891360096963,0.159936048769942,0.182861283270327,0.00607842674131012,0.0112387659470911
"result.27",0.226454649984175,0.213709147371974,0.188627923101428,0.203067257701325,0.00764687147939495,0.0337226488604663
"result.28",0.220316427300982,0.17465776788265,0.168432680043544,0.190695831220835,0.00594319677040399,0.0296004384748392
"result.29",0.225756877286616,0.143595305538331,0.170615751414615,0.17890800666979,0.00661204559998228,0.0240987058537679
"result.30",0.231428329897762,0.176138508049527,0.165290657594394,0.182762661684866,0.00600723111323374,0.0215184947168742
"result.31",0.223686223828939,0.140237837044943,0.164450349515794,0.160080841493955,0.00631777149229399,0.00318287038409511
"result.32",0.226706274957876,0.160264142733416,0.173587080040609,0.190154340285111,0.00702392092751215,0.0281750705753469
"result.33",0.228648723048251,0.163752287764435,0.16182719175136,0.188525525428477,0.00591400548157629,0.0304594784935448
"result.34",0.22865443442843,0.148568920101131,0.177656791052221,0.180877509825754,0.00611393800738667,0.00851468923487748
"result.35",0.228307726502347,0.159078018944751,0.157758814855964,0.177815924757767,0.00619312919820914,0.0231946140526282
"result.36",0.233263062653721,0.164885939724236,0.166901057166103,0.186647904064138,0.00677405307383963,0.0297601988450661
"result.37",0.230829579592092,0.15877178611627,0.16421871600003,0.195938798886283,0.00614021085118174,0.030444264171054
"result.38",0.219021256244117,0.151469768658511,0.175549258163083,0.174178486322397,0.00640632205759699,0.0120093382940091
"result.39",0.236354093684219,0.151044661239456,0.161631643893066,0.168555369882393,0.0079366744773771,0.0183805248855511
"result.40",0.23350728402608,0.174036612404568,0.144225603168369,0.171831761989095,0.00666442759769225,0.0192942272305777
