"","theta.oracle","theta.plugin","theta.weight","theta.DR","se.DR","policy.value"
"result.1",0.227240613053204,0.213858180111638,0.175150151796993,0.22101096112047,0.00169787568229427,0.0340886485601451
"result.2",0.22779222901171,0.203840956472921,0.177158577811092,0.214703443503605,0.00174129243351378,0.0364840127023899
"result.3",0.228175075148993,0.21225112619468,0.172666309245989,0.220207275808046,0.00173248079757018,0.0330327359422609
"result.4",0.226793679331556,0.213485167774335,0.175594070054523,0.217891308336793,0.00168670749008684,0.0382835829693082
"result.5",0.230559115867079,0.221407544862172,0.16988871119973,0.222113129817896,0.00174709097996944,0.0376280520214554
"result.6",0.228123947144675,0.212501766387605,0.17350020539128,0.219916725006563,0.00168622839920205,0.0367520615133677
"result.7",0.228248518068209,0.215797742415489,0.16530770496033,0.217499921156802,0.00168657900610831,0.037627799258062
"result.8",0.228554344394606,0.216635215655456,0.17117603273516,0.217841864677076,0.00173445084422371,0.036117357597407
"result.9",0.227689151557321,0.216428968682585,0.179296435656511,0.221041464285884,0.00176433116058229,0.0380505646742761
"result.10",0.228234990731772,0.210269357599893,0.174080540692132,0.218285264110128,0.00175446584784491,0.0374350429652478
"result.11",0.229083531304858,0.218419001682924,0.178416183530671,0.222615163121501,0.0017247334535764,0.0370096351459789
"result.12",0.230802962541291,0.214798431861112,0.174303610484373,0.220904166884243,0.00170427262145066,0.0372137040468299
"result.13",0.230014491619594,0.213397221488115,0.169006015036593,0.221610683777405,0.00178548381405866,0.0366500369828327
"result.14",0.229369085562402,0.208877602397182,0.166569775653975,0.21898442253346,0.00173505474520379,0.0366286519614887
"result.15",0.228762047887389,0.209134877061807,0.171737522108306,0.215726414214102,0.00171191241436122,0.0377487582115259
"result.16",0.229529477310261,0.219247686414438,0.172057845003299,0.223424024253784,0.00167574048107479,0.0383131843253292
"result.17",0.22955374068805,0.216989752125685,0.170263366992188,0.222082908750979,0.00170153075766148,0.0368287727762494
"result.18",0.229565658188285,0.220676429871709,0.173696071935121,0.222619223915853,0.00174342452128174,0.0387171196281707
"result.19",0.228790772681112,0.213005388288556,0.174678997900248,0.219503331853978,0.00174319115693761,0.0378546387429364
"result.20",0.228218041743328,0.21376420946202,0.170329246301414,0.218600300738064,0.00174795879638226,0.037521500629983
"result.21",0.228749622491976,0.21272030588862,0.170688284658173,0.222518533507808,0.00175018988412376,0.0330171700565757
"result.22",0.229627988035169,0.214270001877224,0.172311918797283,0.220381556108985,0.00175695948495486,0.0374400287471009
"result.23",0.230204848319188,0.212130768412636,0.174668447704591,0.221418102428304,0.00173473926818502,0.0368667112396791
"result.24",0.227364250027113,0.214115131875304,0.175621788077036,0.219986916956955,0.00168718623078472,0.0372479436894425
"result.25",0.227841104612034,0.212027991938984,0.175694076705126,0.221047642320834,0.00173427822593305,0.0364312410582244
"result.26",0.228376803078791,0.216649693898277,0.176859416418999,0.219303168681245,0.00172786806062847,0.0352294843177024
"result.27",0.227639516608015,0.212132897127521,0.175871691257787,0.216884931670536,0.00176606121863259,0.035501655457541
"result.28",0.22794730468577,0.213380601599273,0.177978100216883,0.220706047282322,0.00173736125675812,0.0358679683112017
"result.29",0.228184843779315,0.214656998368771,0.172720612663344,0.219631575111819,0.00173574067420184,0.0384858098693806
"result.30",0.228766277588002,0.219250991576281,0.169675782477797,0.221214056998543,0.00170526080636274,0.0361198938536789
"result.31",0.22730439793834,0.2146279932709,0.17374926994406,0.221525469797342,0.00175840226770531,0.0357046736449556
"result.32",0.227175483393203,0.207519475612608,0.173401538084854,0.216403921368026,0.00170977674644792,0.0358240664809365
"result.33",0.228901678584913,0.21743936167457,0.159794341749884,0.21796114755017,0.00169195597623232,0.0370068211170922
"result.34",0.229085631095628,0.212897274398119,0.17089424547055,0.219474393336258,0.00173886661879,0.0381712886667338
"result.35",0.228649823649167,0.211467164179879,0.172483160865898,0.218768848379316,0.00174525805931289,0.0387624794267143
"result.36",0.227958180014291,0.214001944603364,0.170441109920282,0.220299279042347,0.00173648030482997,0.039003792623926
"result.37",0.229818860584851,0.218934710997811,0.1737895448102,0.223703505962377,0.00176101845131975,0.0371409723445419
"result.38",0.227701700553486,0.207792764707676,0.170361154515314,0.215809283444488,0.00171584203863977,0.0358027929628617
"result.39",0.229456791714195,0.21298887811841,0.171219743484223,0.222269621982477,0.00173060431163994,0.0363624154813478
"result.40",0.227389767739256,0.210465082928787,0.176575102641886,0.216286802391884,0.00167336883169184,0.0358219449684287
