"","theta.oracle","theta.plugin","theta.weight","theta.DR","se.DR","policy.value"
"result.1",0.217194373124069,0.194841619837168,0.156018197062441,0.221707409204868,0.00643635235569133,0.0284283372443576
"result.2",0.224525774144714,0.18959362687638,0.164902052289806,0.212621641799472,0.00712535678043867,0.0272886814715672
"result.3",0.225176067148527,0.18978558819246,0.12890744193877,0.207468412979831,0.00708197686263817,0.0255003680712494
"result.4",0.223315159863959,0.172116491822568,0.10852664389888,0.189532481356832,0.00626926906275673,0.0182982496879143
"result.5",0.216513513567709,0.185326932345394,0.123872752842226,0.196563794400026,0.00617935997375905,0.0213354388436435
"result.6",0.221308827299702,0.197837637954947,0.131134545645356,0.216496950796367,0.00655909859790612,0.0271876706517092
"result.7",0.215673189617068,0.175955246292352,0.123316432774503,0.193247841743771,0.0060671836805618,0.024380081147433
"result.8",0.220001248077068,0.199723738912379,0.141130795393594,0.21576055664965,0.00618433585124261,0.0177005454438162
"result.9",0.218409742272738,0.180869846186073,0.132027642885298,0.209721338123068,0.00616895316129162,0.0269781373204711
"result.10",0.221445460287047,0.196939658249593,0.107032547972797,0.196824707984139,0.00637315980824671,0.0204472499145409
"result.11",0.21930090591263,0.190788972234971,0.134308203456052,0.205662144694122,0.00683066552350241,0.0207247175462394
"result.12",0.223307127356582,0.188232863543661,0.133523202368718,0.207127628175761,0.00664565467843341,0.0268002938042312
"result.13",0.223771756029928,0.174653311781685,0.116790787053403,0.196221705214086,0.00673016729389854,0.0217352073486628
"result.14",0.222140590536432,0.196980678215866,0.128364158453544,0.209109428799003,0.00632735164358851,0.024363791076145
"result.15",0.225659317620878,0.174191655297328,0.116416647816284,0.202737034875133,0.00641755679858706,0.0239465693395687
"result.16",0.218160632015455,0.193574522555345,0.127962994095889,0.20816676758551,0.00587377914874693,0.0276601257198079
"result.17",0.221874538049809,0.173325140224425,0.0982007262455075,0.199610925836322,0.00595071976953284,0.0286470307942408
"result.18",0.222143618370524,0.192711571359473,0.126040016087849,0.208554289070429,0.00589189287853164,0.0225338099813854
"result.19",0.21954348953922,0.182731882381154,0.132816534275016,0.20301264241811,0.0062018631494568,0.0231495505227791
"result.20",0.216558390631633,0.189679872060244,0.10489714344856,0.199621889336005,0.00645914886516217,0.0172616224397464
"result.21",0.220066581715562,0.193305846379663,0.134850855509841,0.210797625697685,0.00634499235524692,0.0232720591057246
"result.22",0.22470907308461,0.179030771082704,0.144709762691046,0.2077531407942,0.0063204706743512,0.0271107568243315
"result.23",0.222042728581371,0.182272898017876,0.14248554311466,0.20865702888046,0.00619204999408285,0.0273119876960238
"result.24",0.222597070553943,0.178247444159375,0.108546130321261,0.196726188288212,0.00609798819309952,0.0221225994625693
"result.25",0.218525783526773,0.18987965688787,0.117800993618653,0.204094341551638,0.00627687164872215,0.0255166973102677
"result.26",0.218957959304091,0.183838538563109,0.135900970981107,0.203370271761778,0.00627067367367684,0.0238717713923239
"result.27",0.211953888331578,0.17299534727841,0.123725628383526,0.195243627571441,0.00617803946084473,0.0233588332510603
"result.28",0.218110255928265,0.180996273532561,0.137379466290349,0.201904460043758,0.00638065528576693,0.024816534980982
"result.29",0.228007399194804,0.171384608241218,0.120970144429588,0.197863009351979,0.00670101029226133,0.024866937734605
"result.30",0.22129618676314,0.176448736038944,0.110401981235976,0.190442345402716,0.00614244960027598,0.0121275636413374
"result.31",0.219928190267,0.184575603532437,0.127608851640919,0.198998220347332,0.00610696310561955,0.0234987622489942
"result.32",0.221761473750198,0.178238152289317,0.113253344636223,0.202315223860476,0.0060222086392367,0.0212675148375269
"result.33",0.22356082569984,0.195161782671478,0.119246410334805,0.206893541245639,0.00642877028340736,0.0211024952822286
"result.34",0.219834905257561,0.176971251380526,0.124883560422473,0.198475124081137,0.00638487855381643,0.0185150824275326
"result.35",0.219118522775843,0.17660696336184,0.127530548060488,0.195426204161697,0.00651862239958869,0.0281833535766639
"result.36",0.224764709363796,0.188211365443471,0.113722664707053,0.203539654351079,0.00668328308272959,0.0273544654121721
"result.37",0.219951775356687,0.20894907121608,0.122628333670875,0.207991658172354,0.00644576293263844,0.0220955994940814
"result.38",0.224034931810494,0.18829280254949,0.119294521883992,0.20616003100813,0.0062484565263233,0.0271207401680191
"result.39",0.225284705577876,0.187599621131236,0.128946110582653,0.203800775717078,0.00671753653613582,0.0218706069872067
"result.40",0.219857451820013,0.192333762492425,0.119461076926744,0.202332809149418,0.00688715971502319,0.0223038582588541
