"","theta.oracle","theta.plugin","theta.weight","theta.DR","se.DR","policy.value"
"result.1",0.228381667319347,0.208063767788515,0.167455047748754,0.213259308989755,0.00282271661532113,0.0359022461696036
"result.2",0.2284198214479,0.200616986275306,0.177188767862333,0.210961343783034,0.00288814039197362,0.0343612642465348
"result.3",0.229091508741793,0.211672273498771,0.173438720243238,0.216956779343468,0.002747750900548,0.0333673213527899
"result.4",0.224884588748536,0.204700535056062,0.180442932720185,0.212398550526661,0.00273218621731794,0.0314050271399763
"result.5",0.224618413713778,0.200521473341261,0.168250827785473,0.209031078855586,0.00280910980589324,0.0377276330454107
"result.6",0.226770535847694,0.208741594041526,0.170778099957692,0.216327591348647,0.00274260064906741,0.0354306535092671
"result.7",0.228148614783133,0.206813285951317,0.173350005334363,0.212869938082909,0.00283153414903454,0.0367333454366191
"result.8",0.226976610753489,0.202114775279753,0.175770750754722,0.209299149221307,0.00276751032380841,0.0339740608716233
"result.9",0.23016314768276,0.218385401901369,0.176654707164863,0.219919812302386,0.00284988262025625,0.0339982650304152
"result.10",0.229827374369077,0.208943454242301,0.170079873822226,0.217521353801273,0.00277681656290816,0.0356592628698991
"result.11",0.231262193748249,0.199861137744572,0.174031902575451,0.210717628679257,0.00271894498059859,0.0363613130644031
"result.12",0.22535474805467,0.205897380165672,0.174715998400067,0.209356692236295,0.00274483723355597,0.0361071577680179
"result.13",0.228558714918222,0.212319621162958,0.174688820187694,0.220049571575338,0.00287704744543683,0.0364034410354035
"result.14",0.228524495538942,0.20651300617682,0.180609770219562,0.217031869547079,0.00283053265139597,0.0358375400104853
"result.15",0.228218446550006,0.203375962533682,0.179117578916519,0.215222700613606,0.00266671529234993,0.0352445293166593
"result.16",0.230346959304291,0.200830229475156,0.176021003209625,0.220907634044201,0.00276658523757692,0.0333293291329033
"result.17",0.229200780220862,0.210041729026699,0.17460549879754,0.214478783148993,0.00264444283154312,0.0341056032527767
"result.18",0.223088648573307,0.19585017166796,0.185664081078754,0.210608738557064,0.00283908062479054,0.0351243973403453
"result.19",0.227587140949909,0.203446432170482,0.171482175834307,0.213788027673016,0.00272061901240025,0.0357625721552553
"result.20",0.226023736366421,0.205177864772281,0.17700157587361,0.217244175456804,0.00269730916629213,0.0332635314365567
"result.21",0.227657659298023,0.203523115045061,0.162816394857176,0.21089803852053,0.00286132782788311,0.0360762873482432
"result.22",0.23116016240704,0.210703934688826,0.176021525438423,0.213808397258565,0.00281688602603725,0.0339411634324113
"result.23",0.229696741955052,0.203764600617,0.177460803952757,0.216726877545042,0.00278138342695391,0.0359020392111174
"result.24",0.230732076475995,0.211550953297785,0.178904252837601,0.221395633853607,0.0028619498163324,0.0361419318330546
"result.25",0.225175249154755,0.198017277354932,0.176139241756384,0.210934077819146,0.00272448305234245,0.0345005244023347
"result.26",0.224774465213401,0.204607970092303,0.176788924383623,0.214571026594024,0.00278404193680368,0.0332906786854542
"result.27",0.23120684891663,0.20011689690165,0.173439115625678,0.217569073729229,0.00285130440644223,0.0342016632452688
"result.28",0.230281697139179,0.198569390998203,0.166364458209413,0.214395496095318,0.00269269793838979,0.0362263767153047
"result.29",0.224266745353519,0.208055935028259,0.178042601888766,0.214186464500445,0.00273724024292392,0.0368817708625537
"result.30",0.231954428691424,0.198674259349599,0.177544143984992,0.211787632113964,0.00276294056014291,0.0364963217954409
"result.31",0.22895911177678,0.208789670812633,0.182316356677978,0.214092949366534,0.00279647650638334,0.0335702446892374
"result.32",0.231819736637204,0.197148301075145,0.175862625923081,0.211920134737692,0.0025950606672945,0.0330626115529417
"result.33",0.230083333569298,0.205037455084403,0.173225792729487,0.217568618740286,0.00286725337224275,0.0351510885527943
"result.34",0.228668710612059,0.20399539660023,0.17957435473278,0.216150519031998,0.0028543981409318,0.0355272510456197
"result.35",0.229381138080191,0.20765716965884,0.183970394253466,0.21866568269109,0.00282610813035794,0.0354324380592897
"result.36",0.229566128918455,0.212178295176176,0.175930610165171,0.217388759802805,0.00274770024453326,0.0365718012252795
"result.37",0.227356137042209,0.193237517172036,0.169348866217114,0.204920673600435,0.00266464895793408,0.0334198393325349
"result.38",0.228196169699648,0.204746311563365,0.169678786328396,0.211638265357212,0.00270157026848118,0.0349805462550242
"result.39",0.227627241536457,0.220043263621383,0.171773660195733,0.21631704631058,0.00276185220011895,0.0359845402819153
"result.40",0.227507616592549,0.207420875021858,0.166942213572435,0.216393881706326,0.00277302294481767,0.0358593968279451
