"","theta.oracle","theta.plugin","theta.weight","theta.DR","se.DR","policy.value"
"result.1",0.220665185297256,0.205311929955782,0.14751816038017,0.210700887350046,0.00236084541620762,0.027077711176922
"result.2",0.221312806508639,0.212481948024581,0.149403836934681,0.218059248178427,0.00236250122961272,0.0281793092715795
"result.3",0.219899570166088,0.206569048027542,0.150264537037054,0.214800564539177,0.00231722451810043,0.0271934654957407
"result.4",0.22013304375627,0.207552072978928,0.145149987954967,0.211703932827692,0.00231550024595171,0.0286107048851679
"result.5",0.220970348537004,0.206007633073383,0.146498514293445,0.215247125393027,0.00241647962759564,0.0310651677760451
"result.6",0.219631201428117,0.202484750382058,0.145025322563763,0.212217715068228,0.00234829980316645,0.0269461757800064
"result.7",0.22107875711882,0.209836929171619,0.146856849729324,0.21523050833612,0.00244022345916886,0.0299349872530933
"result.8",0.223187864599092,0.215976925477849,0.145120021444829,0.217162497255416,0.00237811793731182,0.0306191348762892
"result.9",0.220991778806456,0.211635907746527,0.149102206149453,0.218140875138997,0.00240967515719966,0.0278013124074181
"result.10",0.219678275462056,0.207566742907008,0.157849180759828,0.217591836532901,0.00234631701997802,0.0281572325705055
"result.11",0.220958919037627,0.202353768837658,0.151988753867169,0.214616373762445,0.00238478591577733,0.0294889617366412
"result.12",0.22164263429357,0.21129393645764,0.146577473599794,0.218224424570883,0.00235000968139088,0.0265973148048516
"result.13",0.221092012009518,0.211516963534659,0.144255782635394,0.21575132522556,0.00240956851079644,0.0303984359456812
"result.14",0.221796394347923,0.209253339334443,0.144364811858347,0.217420876132743,0.00237558526767595,0.0276873122684247
"result.15",0.220683120300139,0.20615548646912,0.147024981172403,0.214833097325248,0.00233174318272539,0.0290814338001721
"result.16",0.220516801461323,0.212419247226619,0.153898327687539,0.215797877382911,0.00241465739321193,0.0288065347724371
"result.17",0.221439559179749,0.206245412172936,0.144807495732056,0.216479298964363,0.00237811656856905,0.0280605168644694
"result.18",0.221154427461273,0.211019280172074,0.150988022387375,0.216938430609266,0.00240662838414248,0.0294131686702017
"result.19",0.221079010977052,0.206222412433258,0.146790045894019,0.216644390358623,0.00237762106111509,0.027950591123905
"result.20",0.220827688844172,0.206136130992527,0.146333822216191,0.215101417404645,0.00238397099954391,0.0265337267324068
"result.21",0.221464325652522,0.209213113981005,0.153696268072079,0.215519698508903,0.00233307260931333,0.027483297276907
"result.22",0.220719347535663,0.209457604814349,0.156346317274294,0.216972682114764,0.00237002645156736,0.0278353617764332
"result.23",0.221584666933165,0.211560091338234,0.148737681446076,0.214741829079694,0.00236095503596854,0.0298669646679276
"result.24",0.222782365364576,0.207120221353753,0.14229560528768,0.21194849462502,0.00235981309437452,0.0304141927950421
"result.25",0.222785092638467,0.211819567214256,0.144737467449752,0.21641231439264,0.00239235285000713,0.0276903835089077
"result.26",0.220394964535774,0.211097879145283,0.154203838722118,0.213832986720917,0.00238558137702066,0.0271957874803155
"result.27",0.220777752252104,0.205779143181626,0.146444926791792,0.213293889664508,0.00234490721081923,0.0293102934140064
"result.28",0.221950524750616,0.216130597067625,0.148021735435964,0.217851157284574,0.00238997892103939,0.0297255262096194
"result.29",0.223439772499383,0.211070508638275,0.146033268824983,0.214912903878933,0.00236720669481689,0.0309838346143323
"result.30",0.221870727855727,0.206196388545298,0.151015327125076,0.215842860726974,0.00241713066710374,0.0274389197147
"result.31",0.222730577968079,0.211470511051287,0.147677250390079,0.216178244088503,0.00241395996650552,0.0274402874871506
"result.32",0.220371028493157,0.207768615819227,0.149555315774638,0.215612283330541,0.00237410344626996,0.0284885390258573
"result.33",0.221275871351758,0.208954646180335,0.151840050656387,0.217756228273281,0.00231712500419347,0.031365988280327
"result.34",0.220695362536491,0.209716243558112,0.145578720051691,0.214531131031336,0.00232465779081463,0.0268155447009533
"result.35",0.219905263383553,0.210166498306502,0.146691778663555,0.214102105204562,0.00234501212550487,0.0290790738148264
"result.36",0.221739950270699,0.205724154490521,0.149095913119023,0.214841761610372,0.00241266395614254,0.028156643686268
"result.37",0.221251673685835,0.208630197814843,0.1429577391447,0.213792560517363,0.00233651523577905,0.0281871882508689
"result.38",0.221494811292777,0.208382815880841,0.141909030350351,0.216155027672458,0.00235460049787296,0.0289186940119079
"result.39",0.220303256334766,0.209701255669449,0.151107411888981,0.216105951076437,0.00237066893715255,0.0273420785452852
"result.40",0.221784524571948,0.202747267661013,0.148379573666878,0.216152617065448,0.00236961783326677,0.0291767795532007
