"","theta.oracle","theta.plugin","theta.weight","theta.DR","se.DR","policy.value"
"result.1",0.220004228876739,0.202605938752668,0.149299564222369,0.212499970746858,0.004210548255701,0.0294005095096991
"result.2",0.222587658419076,0.201596702094059,0.136412987576857,0.210487865667314,0.00401960567050624,0.0311342754765518
"result.3",0.220190269168109,0.197081491769252,0.151753619229575,0.209120124441354,0.00391741186063496,0.0284164554594471
"result.4",0.221087580680878,0.197368749395874,0.138463775231531,0.206624547996444,0.00402258507051722,0.0277502703190416
"result.5",0.22280870076699,0.203093065332531,0.142211635664063,0.211265803834911,0.00399871099543651,0.0256789893294743
"result.6",0.220373240132775,0.196747566558077,0.133536419915629,0.213411255498665,0.00385866669347973,0.0298681160304931
"result.7",0.220727199708388,0.197872483850356,0.140490443399312,0.210396233160307,0.00403530163657681,0.0291361565559077
"result.8",0.221949785790894,0.198542282440266,0.134407544827159,0.212673748289185,0.004052603791042,0.0285698153941964
"result.9",0.217961499709706,0.198667382554144,0.142592914980431,0.208919427700298,0.00404768171895104,0.0260689978345708
"result.10",0.222357843015985,0.20097085146355,0.142455753310445,0.206854188870357,0.0040911769302165,0.0286796694565839
"result.11",0.223964951113595,0.194808472440154,0.132567012512526,0.213073857338463,0.00407732139000733,0.0266328064191388
"result.12",0.219583156871755,0.202174073478788,0.138247786052131,0.209287841944873,0.00412120180910158,0.0278191183766659
"result.13",0.222075443976071,0.204340538727568,0.146313177309474,0.213708740243235,0.00412135258806248,0.0260572431578605
"result.14",0.22119260396248,0.19869902583416,0.152422993139636,0.212351435864809,0.00414406632939372,0.0285061777965214
"result.15",0.222298767867202,0.198361454868553,0.13179813532968,0.209317159829805,0.00394526183928964,0.0277818872206514
"result.16",0.221032868829114,0.198751747324562,0.137740091140088,0.208286982730139,0.00402872490607278,0.0300189567013209
"result.17",0.223500302601525,0.201715277851287,0.143732217922981,0.217526116572758,0.00419949959768904,0.0288128229253636
"result.18",0.226296309726224,0.203331581164091,0.129688720047385,0.211538971505191,0.00428389932338821,0.0271082253079251
"result.19",0.22212067166071,0.200274182361845,0.140549226038153,0.216195968969089,0.00408763595284404,0.0277147592766938
"result.20",0.221104387139977,0.202721453364852,0.145956370380489,0.216515980149871,0.00401639136303571,0.0278196039437593
"result.21",0.220007025063951,0.199175877027161,0.14265654834847,0.210504787498314,0.0041661950258999,0.0265714770886676
"result.22",0.221115472157105,0.19140814099706,0.129297547773597,0.207958561073573,0.0040830080676571,0.02624103358917
"result.23",0.219140327092281,0.202300261756243,0.14364994995004,0.211316294552722,0.0040660084393709,0.0292584807510894
"result.24",0.22330480292448,0.205732631626154,0.132024947880094,0.215904564830501,0.00418024053462753,0.0257859106227702
"result.25",0.221508930448804,0.205861709639362,0.125416607182374,0.20793815661901,0.00389219365662832,0.0288736399391778
"result.26",0.219503893414142,0.196780861018916,0.150372764134486,0.21327083020339,0.00387608564941341,0.0252022711152978
"result.27",0.223826698355232,0.201671246372391,0.15516488894628,0.220625808821608,0.00428365551809733,0.0243386995896508
"result.28",0.222846672286136,0.199267677610711,0.137405859954011,0.213290868178001,0.00410781390247501,0.0242387541657698
"result.29",0.222931228081338,0.198635257649455,0.15938646278983,0.213925072640408,0.00417506380363376,0.0257818143044417
"result.30",0.22410252073138,0.202801235764035,0.133072077872472,0.213299609841188,0.00411889387722157,0.028793306464615
"result.31",0.221035990664868,0.197010629435548,0.138155926371824,0.208788535387251,0.00405579605138391,0.0284405462532815
"result.32",0.223565119865602,0.207122967342909,0.143458428501059,0.210124499490163,0.00411005490223211,0.0273470182066995
"result.33",0.221663623945201,0.193024695452977,0.145556659849833,0.207775844571203,0.00403643601233572,0.027216493639085
"result.34",0.223982691440178,0.215984356466255,0.137355367158265,0.218408860563022,0.00408746255070206,0.0290765638483529
"result.35",0.224611303789298,0.198134902898474,0.137024376577814,0.211855944219679,0.00418114001294573,0.0279513494892909
"result.36",0.221485669814073,0.197990062983191,0.136774756501086,0.21178649309838,0.00406611387100065,0.0289793717319998
"result.37",0.21764981697586,0.19419007070457,0.151836865521077,0.209740994301163,0.00391641758967388,0.027006050923469
"result.38",0.220890689064381,0.199362315115968,0.145561745989975,0.210820738233455,0.00408792400393096,0.0278910864632814
"result.39",0.222028362440802,0.200333657903815,0.142829689903059,0.208325168744915,0.00394080038518211,0.0281904489507681
"result.40",0.22037149067802,0.195681768216939,0.144383917834183,0.212915378341433,0.00408652102454766,0.0287252740114795
