"","theta.oracle","theta.plugin","theta.weight","theta.DR","se.DR","policy.value"
"result.1",0.222524184849332,0.146528495314285,0.0892855421522977,0.175614749180344,0.0088868163051945,0.00317796910683033
"result.2",0.226145168169426,0.170291665687604,0.0930453418512904,0.173480155721504,0.00972237846333384,0.00839095358038536
"result.3",0.226764836165025,0.150001227181867,0.0949710219332264,0.180414541908891,0.00842843279690709,0.00346070792856326
"result.4",0.221074003769015,0.180860120226449,0.0807241525095799,0.180545571003826,0.00844949059378179,0.00875628070245821
"result.5",0.221847455461193,0.169817866584138,0.126895038107286,0.205654851865901,0.00870353288546233,0.0258469463508054
"result.6",0.220307364073465,0.1560351883316,0.0895359323863514,0.189379496171697,0.00820587877093662,0.0171946083059747
"result.7",0.220859306447404,0.164594318204339,0.0974757970530108,0.194454685959703,0.00686943152882389,0.0171922643226214
"result.8",0.221395679630145,0.200746351919862,0.117639075305227,0.204679146956347,0.00858770337404924,0.0211521913351983
"result.9",0.220016895279187,0.177348410469718,0.0822695559780121,0.188832775955989,0.00790260278749372,0.0175681993044586
"result.10",0.211400987608284,0.175069323196579,0.116060164450859,0.208741155321395,0.0083514102101991,0.0243852820125331
"result.11",0.223164311402035,0.185284079560969,0.099485782815141,0.192772349388102,0.00781838865791469,0.0116250400699123
"result.12",0.218607258979459,0.166005076112974,0.0701098915756105,0.180505767610428,0.00770187947111392,0.0178777294648662
"result.13",0.22779707905753,0.137613260066171,0.0784658597077648,0.173333246214887,0.0081179308759674,0.0136350919566235
"result.14",0.218573980891216,0.177585408905086,0.100036963402613,0.192896784418387,0.00788456820820592,0.026576855393289
"result.15",0.220416842237277,0.162835051687879,0.0933462666077614,0.197837104041164,0.00750942225728459,0.0179960348232488
"result.16",0.222899127382278,0.186897632861585,0.0684284666785355,0.173482679214748,0.00872260813151034,0.00441960244115899
"result.17",0.217046784361306,0.191871294717729,0.115035236451002,0.215718233572197,0.00772840778675027,0.0206207591614807
"result.18",0.230379108186408,0.193552454041781,0.109995848419334,0.213781127683794,0.00826475035117354,0.0200820610191431
"result.19",0.221206068605906,0.13627086398046,0.0638672742528172,0.165778268787617,0.00699532003860831,0.00429989939673437
"result.20",0.220067993752113,0.150670928296094,0.0871006989275112,0.164833533046125,0.00891691399360759,0.0120561254674954
"result.21",0.219421897374164,0.163395686094515,0.0752319877990352,0.185205040887392,0.00884324043313755,0.00732242446298861
"result.22",0.215828549586419,0.18186897948244,0.0875554447445494,0.178251850502869,0.0092537097011972,0.00906693354409957
"result.23",0.222156852043984,0.148263857007909,0.0948486443914004,0.181510325523719,0.00679227095431618,0.0173519161215795
"result.24",0.223669222207027,0.137913106318559,0.0673716325533992,0.181982774352105,0.00854326235073197,0.0176264383660071
"result.25",0.223224711461594,0.182788365031416,0.0729217134991795,0.180678626269472,0.00755517112881803,0.0110438874068456
"result.26",0.225329269054845,0.165137152601429,0.0594147297188032,0.159755085278204,0.00885296203212343,0.00267036069800294
"result.27",0.231557029931619,0.145944602414092,0.0731608367266225,0.175414156769294,0.0104381258024906,0.01512999082121
"result.28",0.218777362458802,0.141972781991392,0.0859358065751055,0.181943915013341,0.00739946482056639,0.0143385753433344
"result.29",0.221270037785602,0.179803624122123,0.104886626024345,0.19819008549397,0.00873327465766079,0.0195006100009271
"result.30",0.210248128830911,0.156742309944768,0.0904498516492284,0.195608350394199,0.00788088136063263,0.0224065191588281
"result.31",0.217955579051883,0.193563392160006,0.114121661100163,0.208338378804135,0.0091522189218547,0.0193777017427995
"result.32",0.222958501116613,0.147091561662433,0.0840912927294232,0.172698696436276,0.00790489257629057,0.00337966950744529
"result.33",0.221323080126866,0.176265646487608,0.089253957916935,0.192929440460457,0.00683172394294031,0.015029516741358
"result.34",0.224680997162935,0.14465293255318,0.0747820712073479,0.178909870647485,0.00773133496799955,0.0116792194406081
"result.35",0.224472087018177,0.157932807908527,0.0715089198079771,0.172713859818379,0.0085200971501352,0.0174345451482212
"result.36",0.222627961585046,0.172871134358278,0.0829101665075972,0.188982019723314,0.00719748951148352,0.0132051783255914
"result.37",0.211288629539777,0.171990273593656,0.109929744220081,0.183688975577206,0.00734722938219397,0.0178813543363094
"result.38",0.221222702284135,0.143146723408615,0.0675111917802365,0.178637740393651,0.0080181666110416,0.00580815692629737
"result.39",0.223600170259026,0.16375548976475,0.102301251283725,0.206094865809874,0.00796618087915534,0.0221364664825259
"result.40",0.220339480556837,0.177449614472629,0.0929114919691682,0.18403774458082,0.00827808429957412,0.0141812100495926
