"","Ai","n","dgp"
"1",0.206840416666759,500,"continuous"
"2",0.0738879778317764,500,"continuous"
"3",0.070391343461812,500,"continuous"
"4",0.142757348373852,500,"continuous"
"5",0.228035303474904,500,"continuous"
"6",-0.0188444640840374,500,"continuous"
"7",0.0643004553929903,500,"continuous"
"8",0.0379921591095333,500,"continuous"
"9",0.254324807526586,500,"continuous"
"10",0.152085998458161,500,"continuous"
"11",0.0333013124534011,500,"continuous"
"12",0.118775397443219,500,"continuous"
"13",0.0396277993713258,500,"continuous"
"14",0.210026365909304,500,"continuous"
"15",0.0520407477388909,500,"continuous"
"16",-0.0639594889030884,500,"continuous"
"17",0.0328305673814671,500,"continuous"
"18",0.00536796960449951,500,"continuous"
"19",0.0620692697644158,500,"continuous"
"20",-0.0233479589458546,500,"continuous"
"21",0.0314122801344964,500,"continuous"
"22",-0.188285684678222,500,"continuous"
"23",0.00101089541978071,500,"continuous"
"24",0.185764471192605,500,"continuous"
"25",-0.0260037175975251,500,"continuous"
"26",-0.0100822172146825,500,"continuous"
"27",0.180503694087253,500,"continuous"
"28",0.0107031153013754,500,"continuous"
"29",0.0874805715150836,500,"continuous"
"30",0.219911952715827,500,"continuous"
"31",0.148204167110564,500,"continuous"
"32",0.0403730169855098,500,"continuous"
"33",0.102643100143718,500,"continuous"
"34",0.0830147446875289,500,"continuous"
"35",0.109928311755025,500,"continuous"
"36",0.135790979490111,500,"continuous"
"37",0.237757040963421,500,"continuous"
"38",0.0841814552152892,500,"continuous"
"39",0.126141166452784,500,"continuous"
"40",-0.0265250124046693,500,"continuous"
"41",0.0449711949635537,500,"continuous"
"42",0.0412616847078504,500,"continuous"
"43",-0.0165334963610368,500,"continuous"
"44",-0.0270104468772497,500,"continuous"
"45",0.165025588010504,500,"continuous"
"46",-0.0172919666450346,500,"continuous"
"47",0.237162231547661,500,"continuous"
"48",0.139665186193624,500,"continuous"
"49",0.139179096089044,500,"continuous"
"50",0.0809268432121332,500,"continuous"
"51",0.0336145884405025,500,"continuous"
"52",-0.0302984992231136,500,"continuous"
"53",-0.0784834601535851,500,"continuous"
"54",-0.0592460405555874,500,"continuous"
"55",0.0863045517352388,500,"continuous"
"56",0.069902842624712,500,"continuous"
"57",0.185235106752275,500,"continuous"
"58",0.168069120283184,500,"continuous"
"59",0.0375653413169957,500,"continuous"
"60",0.0137740745594689,500,"continuous"
"61",-0.0304656053637324,500,"continuous"
"62",0.134671775337907,500,"continuous"
"63",-0.0338459306441737,500,"continuous"
"64",0.19473604391248,500,"continuous"
"65",0.0372507832876567,500,"continuous"
"66",-0.0605576875896514,500,"continuous"
"67",-0.00373823975832203,500,"continuous"
"68",-0.0987377661610477,500,"continuous"
"69",0.113836681865657,500,"continuous"
"70",0.122463113559996,500,"continuous"
"71",-0.127526548818893,500,"continuous"
"72",0.096529807231905,500,"continuous"
"73",0.0850080497617559,500,"continuous"
"74",0.167955355262618,500,"continuous"
"75",0.240660804359246,500,"continuous"
"76",0.108209305361656,500,"continuous"
"77",-0.0196121559169509,500,"continuous"
"78",0.200106924717742,500,"continuous"
"79",0.154271937060545,500,"continuous"
"80",0.153775399826768,500,"continuous"
"81",0.286049046250735,500,"continuous"
"82",-0.00842650587434123,500,"continuous"
"83",0.169866939770077,500,"continuous"
"84",0.16488392921521,500,"continuous"
"85",0.0590522407795713,500,"continuous"
"86",0.00942718427310054,500,"continuous"
"87",0.0508820743719349,500,"continuous"
"88",0.11551496444618,500,"continuous"
"89",0.0134573041486468,500,"continuous"
"90",0.0600638067653737,500,"continuous"
